,Index,country_name_UN,country_id,city_name,type,citycode,y_coord,x_coord,pop,x_coord_OSM,y_coord_OSM
71,72,Eritrea,232,Asmara,Capital,20931,15.33333,38.93333,774.558,4334038,1727645
72,73,Estonia,233,Tallinn,Capital,20932,59.43696,24.75353,391.713,2755550,8275436
73,74,Ethiopia,231,Addis Ababa,Capital,20921,9.02497,38.74689,3168.043,4313284,1008835
74,75,Falkland Islands (Malvinas),238,Stanley,Capital,20935,-51.701172,-57.849351,2.312,-6439760,-6746272
75,76,Faroe Islands,234,Tórshavn,Capital,20934,62.00973,-6.77164,20.646,-753815,8861450
76,77,Fiji,242,Suva,Capital,20936,-18.14161,178.44149,176.397,19864015,-2054130
77,78,Finland,246,Helsinki,Capital,20937,60.169246,24.940216,1169.903,2776332,8437515
78,79,France,250,Paris,Capital,20985,48.85341,2.3488,10764.433,261467,6250024
79,80,French Guiana,254,Cayenne,Capital,21002,4.93333,-52.33333,58.052,-5825719,549855
80,81,French Polynesia,258,Papeete,Capital,21004,-17.53333,-149.56667,132.917,-16649685,-1982997
81,82,Gabon,266,Libreville,Capital,21006,0.3925,9.45365,694.633,1052375,43693
82,83,Gambia,270,Banjul,Capital,21012,13.453099,-16.679433,489.49,-1856745,1511545
83,84,Georgia,268,Tbilisi,Capital,21011,41.69411,44.83368,1149.575,4990862,5115268
84,85,Germany,276,Berlin,Capital,204296,52.52437,13.41053,3547.288,1492853,6895499
85,86,Ghana,288,Accra,Capital,21107,5.55602,-0.1969,2241.692,-21918,619464
86,87,Gibraltar,292,Gibraltar,Capital,21111,36.14474,-5.35257,29.335,-595845,4320555
87,88,Greece,300,Athínai (Athens),Capital,21113,37.95342,23.74897,3059.914,2643723,4572847
88,89,Greenland,304,Nuuk (Godthåb),Capital,21119,64.18347,-51.72157,16.911,-5757618,9396508
89,90,Grenada,308,St.George's,Capital,21120,12.05644,-61.74849,37.822,-6873810,1352132
90,91,Guadeloupe,312,Basse-Terre,Capital,21121,15.99854,-61.72548,55.295,-6871249,1804553
91,92,Guam,316,Hagåtña,Capital,21123,13.47567,144.74886,143.429,16113369,1514129
92,93,Guatemala,320,Ciudad de Guatemala (Guatemala City),Capital,21124,14.612652,-90.530746,2846.89,-10077836,1644599
93,94,Guinea,324,Conakry,Capital,21126,9.571642,-13.647602,1885.989,-1519244,1070501
94,95,Guinea-Bissau,624,Bissau,Capital,22171,11.86357,-15.59767,473.349,-1736324,1330185
95,96,Guyana,328,Georgetown,Capital,21131,6.80448,-58.15527,123.852,-6473815,759258
96,97,Haiti,332,Port-au-Prince,Capital,21133,18.53917,-72.335,2375.913,-8052295,2100755
97,98,Holy See,336,Vatican City,Capital,21134,41.90236,12.45332,0.799,1386297,5146364
98,99,Honduras,340,Tegucigalpa,Capital,21136,14.0818,-87.20681,1100.588,-9707817,1583602
99,100,Hungary,348,Budapest,Capital,21138,47.49801,19.03991,1717.321,2119513,6023744
100,101,Iceland,352,Reykjavík,Capital,21147,64.13548,-21.89541,184.171,-2437385,9384251
101,102,India,356,Delhi,Capital,21228,28.66667,77.21667,24953.311,8595720,3333288
102,103,Indonesia,360,Jakarta,Capital,21454,-6.211831,106.841646,10176.006,11893557,-692856
103,104,Iran (Islamic Republic of),364,Tehran,Capital,21523,35.69439,51.42151,8352.934,5724216,4258650
104,105,Iraq,368,Baghdad,Capital,21529,33.34058,44.40088,6483.209,4942683,3940598
105,106,Ireland,372,Dublin,Capital,21542,53.33306,-6.24889,1154.896,-695623,7044844
106,107,Isle of Man,833,Douglas,Capital,22892,54.15,-4.48333,28.685,-499082,7198615
107,108,Israel,376,Jerusalem,Capital,21547,31.76904,35.21633,829.396,3920263,3733031
108,109,Italy,380,Roma (Rome),Capital,21588,41.894743,12.481142,3697.153,1389394,5145225
109,110,Jamaica,388,Kingston,Capital,21607,17.99702,-76.79358,586.702,-8548622,2037199
110,111,Japan,392,Tokyo,Capital,21671,35.6895,139.69171,37832.892,15550410,4257980
111,112,Jordan,400,Amman,Capital,21700,31.95522,35.94503,1147.703,4001382,3757433
112,113,Kazakhstan,398,Astana,Capital,21679,51.1801,71.44598,740.964,7953330,6653213
113,114,Kenya,404,Nairobi,Capital,21711,-1.28333,36.81667,3767.652,4098412,-142871
114,115,Kiribati,296,Tarawa,Capital,21112,1.327221,172.981305,45.915,19256190,147758
115,116,Kuwait,414,Al Kuwayt (Kuwait City),Capital,21769,29.353429,47.982244,2680.322,5341358,3420706
116,117,Kyrgyzstan,417,Bishkek,Capital,21770,42.87,74.59,857.711,8303320,5292205
117,118,Lao People's Democratic Republic,418,Vientiane,Capital,21772,17.96667,102.6,945.715,11421379,2033647
118,119,Latvia,428,Riga,Capital,21778,56.946,24.10589,629.37,2683455,7749089
119,120,Lebanon,422,Bayrut (Beirut),Capital,21773,33.9,35.48333,2178.834,3949986,4015382
120,121,Lesotho,426,Maseru,Capital,21775,-29.31667,27.48333,266.58,3059430,-3416013
121,122,Liberia,430,Monrovia,Capital,21779,6.30054,-10.7969,1223.881,-1201905,702790
122,123,Libya,434,Tarabulus (Tripoli),Capital,21782,32.87519,13.18746,1126.013,1468021,3878749
123,124,Liechtenstein,438,Vaduz,Capital,21783,47.14151,9.52154,5.321,1059932,5965202
